subtask,rmse,mae,emb_layer,readout_layer,conv_layers,agg_function,seed
openproblems_bmmc_cite_phase2_rna,0.42803969979286194,0.28918135166168213,1,2,2,mean,3407
openproblems_bmmc_cite_phase2_rna,0.4354896545410156,0.29438263177871704,1,2,2,mean,3407
